name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 242 (Agriculture),Agriculture,Ministry of Education,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 243 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 244 (Agriculture),Agriculture,Ministry of Education,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 245 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 246 (Health),Health,Ministry of Education,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 247 (Health),Health,Ministry of Education,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 248 (MSME),MSME,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 249 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 250 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 251 (Health),Health,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 252 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 253 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 254 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 255 (Health),Health,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 256 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 257 (Health),Health,Ministry of Finance,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 258 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 259 (Health),Health,Ministry of Finance,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 260 (Education),Education,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 261 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 262 (Health),Health,Ministry of Finance,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 263 (Finance),Finance,Ministry of Education,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 264 (Agriculture),Agriculture,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 265 (Agriculture),Agriculture,Ministry of Education,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 266 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 267 (Finance),Finance,Ministry of Finance,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 268 (MSME),MSME,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 269 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 270 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 271 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 272 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 273 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 274 (Education),Education,Ministry of Finance,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 275 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 276 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 277 (Finance),Finance,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 278 (Agriculture),Agriculture,Ministry of Finance,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 279 (Agriculture),Agriculture,Ministry of Education,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 280 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 281 (MSME),MSME,Ministry of Finance,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 282 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 283 (Health),Health,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 284 (Agriculture),Agriculture,Ministry of Education,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 285 (Health),Health,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 286 (Education),Education,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 287 (Agriculture),Agriculture,Ministry of Finance,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 288 (Finance),Finance,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 289 (Health),Health,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 290 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 291 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 292 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 293 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 294 (MSME),MSME,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 295 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 296 (MSME),MSME,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 297 (Education),Education,Ministry of Education,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 298 (Finance),Finance,Ministry of Education,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 299 (Education),Education,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 300 (Health),Health,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 301 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 302 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 303 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 304 (Education),Education,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 305 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 306 (Health),Health,Ministry of Finance,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 307 (Agriculture),Agriculture,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 308 (Education),Education,Ministry of Finance,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 309 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 310 (MSME),MSME,Ministry of Finance,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 311 (Finance),Finance,Ministry of Finance,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 312 (Health),Health,Ministry of Education,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 313 (Health),Health,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 314 (Education),Education,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 315 (Health),Health,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 316 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 317 (MSME),MSME,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 318 (Education),Education,Ministry of Finance,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 319 (Health),Health,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 320 (MSME),MSME,Ministry of Finance,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 321 (Education),Education,Ministry of Education,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 322 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 323 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 324 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 325 (Health),Health,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 326 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 327 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 328 (Agriculture),Agriculture,Ministry of Education,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 329 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 330 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 331 (Health),Health,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 332 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 333 (Education),Education,Ministry of Education,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 334 (Health),Health,Ministry of Finance,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 335 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 336 (Finance),Finance,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 337 (Education),Education,Ministry of Education,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 338 (Education),Education,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 339 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 340 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 341 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 342 (Education),Education,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 343 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 344 (Finance),Finance,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 345 (Health),Health,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 346 (Health),Health,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 347 (Health),Health,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 348 (Agriculture),Agriculture,Ministry of Education,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 349 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 350 (Agriculture),Agriculture,Ministry of Finance,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 351 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 352 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 353 (Finance),Finance,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 354 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 355 (Health),Health,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 356 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 357 (Education),Education,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 358 (Education),Education,Ministry of Finance,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 359 (MSME),MSME,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 360 (Health),Health,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 361 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 362 (Health),Health,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
